"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8529","trace","chromium","Fri Aug 23 17:59:47 IST 2024","passed","Fri Aug 23 17:59:56 IST 2024","","22.trace.spec.js","",""
"","382","grouping3","chromium","Thu Jun 06 22:13:00 IST 2024","passed","Thu Jun 06 22:13:00 IST 2024","complete","19.group.spec.js","",""
"","449","grouping111 @unit @smoke","chromium","Fri Aug 23 18:31:30 IST 2024","passed","Fri Aug 23 18:31:30 IST 2024","Smoke Tests","23.tag.spec.js","",""
"","10707","bootstrap multi select dropdown","chromium","Mon May 27 13:24:46 IST 2024","passed","Mon May 27 13:24:57 IST 2024","","8.drop_down.spec.js","",""
"","14226","multiple page","chromium","Tue Aug 27 19:08:46 IST 2024","passed","Tue Aug 27 19:09:00 IST 2024","","27.multiple_page.spec.js","",""
"","874","grouping3 @regression @smoke @unit @sanity","chromium","Fri Aug 23 18:40:09 IST 2024","passed","Fri Aug 23 18:40:10 IST 2024","Smoke Tests","23.tag.spec.js","",""
"","687","delete","chromium","Fri May 24 17:12:29 IST 2024","passed","Fri May 24 17:12:29 IST 2024","","31.api.spec.js","",""
"","12344","multiple page","firefox","Thu Jun 06 22:39:42 IST 2024","passed","Thu Jun 06 22:39:54 IST 2024","","27.multiple_page.spec.js","",""
"","14506","tezt3","chromium","Fri May 24 13:25:57 IST 2024","passed","Fri May 24 13:26:11 IST 2024","","30.retry.spec.js","",""
"","13469","soft assertion","chromium","Thu Jun 06 22:12:20 IST 2024","failed","Thu Jun 06 22:12:34 IST 2024","","6.soft_assertion.spec.js","",""
"","17011","web_tables","chromium","Mon May 27 17:46:29 IST 2024","passed","Mon May 27 17:46:46 IST 2024","","33.web_table.spec.js","",""
"","10334","tezt1","webkit","Fri May 24 13:04:52 IST 2024","passed","Fri May 24 13:05:02 IST 2024","","29.allure_report.spec.js","",""
"","8992","tezt4","chromium","Fri May 24 18:52:58 IST 2024","passed","Fri May 24 18:53:07 IST 2024","","29.allure_report.spec.js","",""
"","5457","tezt4","firefox","Fri May 24 13:05:26 IST 2024","passed","Fri May 24 13:05:32 IST 2024","","29.allure_report.spec.js","",""
"","19821","tezt2","chromium","Fri May 24 18:52:25 IST 2024","failed","Fri May 24 18:52:45 IST 2024","","29.allure_report.spec.js","",""
"","12319","tezt1","firefox","Fri May 24 13:04:52 IST 2024","passed","Fri May 24 13:05:04 IST 2024","","29.allure_report.spec.js","",""
"","30994","element image","webkit","Thu Jun 06 22:10:53 IST 2024","broken","Thu Jun 06 22:11:24 IST 2024","","20.image_screenshot.spec.js","",""
"","621","grouping3@regression@smoke@unit@sanity","chromium","Tue May 28 19:46:48 IST 2024","passed","Tue May 28 19:46:48 IST 2024","","23.tag.spec.js","",""
"","750","create","chromium","Fri May 24 17:12:25 IST 2024","passed","Fri May 24 17:12:26 IST 2024","","31.api.spec.js","",""
